x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-98.5125,-177.3225,0,0,0,0
-98.5125,-190.4575,0,0,0,0
-98.5125,-203.5925,0,0,0,0
-98.5125,-216.7275,0,0,0,0
-98.5125,-229.8625,0,0,0,0
-98.5125,-242.9975,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,337.7809735,-341.51,0.777603699145978,3
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,68.5134735,157.62,0.634386573531467,4
-85.3775,-72.2425,-69.4040265,137.9175,0.548024892750723,4
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-85.3775,-177.3225,0,0,0,0
-85.3775,-190.4575,0,0,0,0
-85.3775,-203.5925,0,0,0,0
-85.3775,-216.7275,0,0,0,0
-85.3775,-229.8625,0,0,0,0
-85.3775,-242.9975,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,88.2159735,137.9175,0.952634795455497,4
-72.2425,-59.1075,75.0809735,-26.27,0.437825279066751,3
-72.2425,-72.2425,-69.4040265,157.62,0.367011551050852,6
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,-75.0333122142857,146.361428571429,0.165885761659926,7
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-72.2425,-177.3225,0,0,0,0
-72.2425,-190.4575,0,0,0,0
-72.2425,-203.5925,0,0,0,0
-72.2425,-216.7275,0,0,0,0
-72.2425,-229.8625,0,0,0,0
-72.2425,-242.9975,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,0,0,0,0
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,80.3349735,78.81,0.665877485970604,5
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,-29.9990265,94.572,0.465772779054497,5
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-59.1075,-177.3225,0,0,0,0
-59.1075,-190.4575,0,0,0,0
-59.1075,-203.5925,0,0,0,0
-59.1075,-216.7275,0,0,0,0
-59.1075,-229.8625,0,0,0,0
-59.1075,-242.9975,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,0,0,0,0
-45.9725,-32.8375,0,0,0,0
-45.9725,-45.9725,0,0,0,0
-45.9725,-59.1075,-135.0790265,210.16,0.910805116321641,3
-45.9725,-72.2425,-108.8090265,-118.215,0.822380736510458,4
-45.9725,-85.3775,-138.3627765,-147.76875,0.321964902212019,8
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-45.9725,-177.3225,0,0,0,0
-45.9725,-190.4575,0,0,0,0
-45.9725,-203.5925,0,0,0,0
-45.9725,-216.7275,0,0,0,0
-45.9725,-229.8625,0,0,0,0
-45.9725,-242.9975,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,0,0,0,0
-32.8375,-19.7025,0,0,0,0
-32.8375,-32.8375,0,0,0,0
-32.8375,-45.9725,0,0,0,0
-32.8375,-59.1075,-161.3490265,-105.08,0.925067485845477,3
-32.8375,-72.2425,127.6209735,-0,0.840993602418912,1
-32.8375,-85.3775,-82.5390265,-157.62,0.883396413834139,6
-32.8375,-98.5125,1.5249735,141.858,0.809064929611054,5
-32.8375,-111.6475,-3.7290265,157.62,0.810759849271099,3
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-32.8375,-177.3225,0,0,0,0
-32.8375,-190.4575,0,0,0,0
-32.8375,-203.5925,0,0,0,0
-32.8375,-216.7275,0,0,0,0
-32.8375,-229.8625,0,0,0,0
-32.8375,-242.9975,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,0,0,0,0
-19.7025,-19.7025,0,0,0,0
-19.7025,-32.8375,0,0,0,0
-19.7025,-45.9725,0,0,0,0
