x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-98.5125,-177.3225,0,0,0,0
-98.5125,-190.4575,0,0,0,0
-98.5125,-203.5925,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-85.3775,-177.3225,0,0,0,0
-85.3775,-190.4575,0,0,0,0
-85.3775,-203.5925,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-72.2425,-177.3225,0,0,0,0
-72.2425,-190.4575,0,0,0,0
-72.2425,-203.5925,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,0,0,0,0
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,0,0,0,0
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-59.1075,-177.3225,0,0,0,0
-59.1075,-190.4575,0,0,0,0
-59.1075,-203.5925,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,96.053628,63.048,0.714845324008324,5
-45.9725,-32.8375,38.916378,157.62,0.76730105713708,8
-45.9725,-45.9725,-95.717372,-197.025,0.981906881972894,6
-45.9725,-59.1075,-43.177372,144.485,0.605645958878943,6
-45.9725,-72.2425,-30.042372,173.382,0.841329561169617,5
-45.9725,-85.3775,0,0,0,0
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-45.9725,-177.3225,0,0,0,0
-45.9725,-190.4575,0,0,0,0
-45.9725,-203.5925,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,0,0,0,0
-32.8375,-19.7025,-166.168735636364,50.1518181818182,0.863462744270184,11
-32.8375,-32.8375,-171.900372,0,0.838017998087157,10
-32.8375,-45.9725,-59.596122,157.62,0.917468665344768,8
-32.8375,-59.1075,-213.932372,131.35,0.387776010526101,3
-32.8375,-72.2425,245.792628,-354.645,0.939965164452527,2
-32.8375,-85.3775,-51.5360083636364,114.632727272727,0.695480216342058,11
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-32.8375,-177.3225,0,0,0,0
-32.8375,-190.4575,0,0,0,0
-32.8375,-203.5925,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,0,0,0,0
-19.7025,-19.7025,88.172628,137.9175,0.919719329994799,4
-19.7025,-32.8375,206.387628,-78.81,0.590734474556957,2
-19.7025,-45.9725,-16.907372,183.89,0.502765849310719,6
-19.7025,-59.1075,0,0,0,0
-19.7025,-72.2425,-30.042372,135.102857142857,0.682987034605827,7
-19.7025,-85.3775,-75.0766577142857,168.878571428571,0.386755466690046,7
-19.7025,-98.5125,-108.852372,-157.62,0.622246372596388,3
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,0,0,0,0
-19.7025,-137.9175,0,0,0,0
-19.7025,-151.0525,0,0,0,0
-19.7025,-164.1875,0,0,0,0
-19.7025,-177.3225,0,0,0,0
-19.7025,-190.4575,0,0,0,0
-19.7025,-203.5925,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,0,0,0,0
-6.5675,-19.7025,-286.174872,197.025,0.270566640003302,4
-6.5675,-32.8375,-3.772372,-288.97,0.708049436690272,3
