x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-98.5125,-177.3225,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-85.3775,-177.3225,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-72.2425,-177.3225,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,-128.5745745,-19.7025,0.6675112971841,4
-59.1075,-45.9725,17.7868540714286,78.81,0.826910730542861,7
-59.1075,-59.1075,48.7479255,0,0.866206502395714,4
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-59.1075,-177.3225,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,265.4754255,157.62,0.929048464085918,1
-45.9725,-32.8375,33.4237588333333,135.728333333333,0.974477037499573,18
-45.9725,-45.9725,-65.5265745,149.739,0.798387908885978,10
-45.9725,-59.1075,-158.1283245,187.17375,0.63484546640597,8
-45.9725,-72.2425,-154.8445745,236.43,0.564863549316828,3
-45.9725,-85.3775,0,0,0,0
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-45.9725,-177.3225,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,-128.5745745,28.1464285714286,0.988144079385079,28
-32.8375,-19.7025,-141.7095745,-32.8375,0.834787769465115,24
-32.8375,-32.8375,-404.4095745,0,0.737014609526697,2
-32.8375,-45.9725,186.6654255,-210.16,0.399771723606338,3
-32.8375,-59.1075,-233.6545745,-52.54,0.69015817045526,6
-32.8375,-72.2425,0,0,0,0
-32.8375,-85.3775,0,0,0,0
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-32.8375,-177.3225,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,-76.0345745,-22.5171428571429,0.948746745728783,21
-19.7025,-19.7025,-114.245483590909,-64.4809090909091,0.845765334015655,11
-19.7025,-32.8375,107.8554255,236.43,0.520905381495436,5
-19.7025,-45.9725,81.5854255,-341.51,0.71813516727058,3
-19.7025,-59.1075,88.1529255,157.62,0.643825815644926,4
-19.7025,-72.2425,-207.3845745,78.81,0.716994756087166,4
-19.7025,-85.3775,0,0,0,0
-19.7025,-98.5125,0,0,0,0
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,0,0,0,0
-19.7025,-137.9175,0,0,0,0
-19.7025,-151.0525,0,0,0,0
-19.7025,-164.1875,0,0,0,0
-19.7025,-177.3225,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,344.2854255,98.5125,0.603153528934129,4
-6.5675,-19.7025,88.1529255,157.62,0.853559224629815,4
-6.5675,-32.8375,92.0934255,-189.144,0.865838883220899,5
-6.5675,-45.9725,-128.5745745,-262.7,0.759358167449828,3
-6.5675,-59.1075,-49.7645745,157.62,0.690415813887524,2
-6.5675,-72.2425,-97.0505745,-267.954,0.753237365619492,5
-6.5675,-85.3775,-128.5745745,-256.1325,0.657278489571711,4
-6.5675,-98.5125,0,0,0,0
-6.5675,-111.6475,0,0,0,0
-6.5675,-124.7825,0,0,0,0
-6.5675,-137.9175,0,0,0,0
