x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,0,0,0,0
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,0,0,0,0
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,0,0,0,0
-45.9725,-32.8375,0,0,0,0
-45.9725,-45.9725,0,0,0,0
-45.9725,-59.1075,0,0,0,0
-45.9725,-72.2425,0,0,0,0
-45.9725,-85.3775,0,0,0,0
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,0,0,0,0
-32.8375,-19.7025,0,0,0,0
-32.8375,-32.8375,0,0,0,0
-32.8375,-45.9725,-69.3567405,157.62,0.575781661177618,2
-32.8375,-59.1075,0,0,0,0
-32.8375,-72.2425,0,0,0,0
-32.8375,-85.3775,0,0,0,0
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,0,0,0,0
-19.7025,-19.7025,0,0,0,0
-19.7025,-32.8375,-108.7617405,-0,0.57181058676325,2
-19.7025,-45.9725,-140.2857405,94.572,0.818803905886947,5
-19.7025,-59.1075,-108.7617405,210.16,0.0759220887227933,3
-19.7025,-72.2425,0,0,0,0
-19.7025,-85.3775,0,0,0,0
-19.7025,-98.5125,0,0,0,0
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,0,0,0,0
-19.7025,-137.9175,0,0,0,0
-19.7025,-151.0525,0,0,0,0
-19.7025,-164.1875,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,0,0,0,0
-6.5675,-19.7025,0,0,0,0
-6.5675,-32.8375,-108.7617405,78.81,0.4,2
-6.5675,-45.9725,88.2632595,59.1075,0.880224566163444,8
-6.5675,-59.1075,-187.5717405,-472.86,0.694536985096613,1
-6.5675,-72.2425,-29.9517405,78.81,0.0916649651448742,2
-6.5675,-85.3775,0,0,0,0
-6.5675,-98.5125,0,0,0,0
-6.5675,-111.6475,0,0,0,0
-6.5675,-124.7825,0,0,0,0
