x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,45.9725,0,0,0,0
-98.5125,32.8375,0,0,0,0
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-85.3775,45.9725,0,0,0,0
-85.3775,32.8375,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-72.2425,45.9725,0,0,0,0
-72.2425,32.8375,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-59.1075,45.9725,0,0,0,0
-59.1075,32.8375,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,0,0,0,0
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,0,0,0,0
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-45.9725,45.9725,0,0,0,0
-45.9725,32.8375,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,-5.20314878571428,56.2928571428571,0.437881005924906,7
-45.9725,-32.8375,-2.9514345,31.524,0.457438929494021,5
-45.9725,-45.9725,-10.8324345,39.405,0.17157287525381,2
-45.9725,-59.1075,0,0,0,0
-45.9725,-72.2425,0,0,0,0
-45.9725,-85.3775,0,0,0,0
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-32.8375,45.9725,0,0,0,0
-32.8375,32.8375,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,44.3345655,78.81,0.702668896037148,5
-32.8375,-19.7025,33.8265655,-5.254,0.720981322737408,15
-32.8375,-32.8375,28.5725655,-354.645,0.47297470636952,2
-32.8375,-45.9725,0,0,0,0
-32.8375,-59.1075,0,0,0,0
-32.8375,-72.2425,0,0,0,0
-32.8375,-85.3775,0,0,0,0
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-19.7025,45.9725,0,0,0,0
-19.7025,32.8375,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,39.8311369285714,-22.5171428571429,0.973342292842036,7
-19.7025,-19.7025,-50.2374345,78.81,0.69989732646873,3
-19.7025,-32.8375,-306.3699345,157.62,0.764890315490853,4
-19.7025,-45.9725,67.9775655,-39.405,0.261024848062378,4
-19.7025,-59.1075,0,0,0,0
-19.7025,-72.2425,0,0,0,0
-19.7025,-85.3775,0,0,0,0
-19.7025,-98.5125,0,0,0,0
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,0,0,0,0
-19.7025,-137.9175,0,0,0,0
-6.5675,45.9725,0,0,0,0
-6.5675,32.8375,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,-23.9674345,-157.62,0.526823980568718,3
-6.5675,-19.7025,81.1125655,-288.97,0.494192219094104,3
-6.5675,-32.8375,383.2175655,-118.215,0.563484625598059,2
-6.5675,-45.9725,-391.7474345,-26.27,0.554005180533013,3
-6.5675,-59.1075,0,0,0,0
-6.5675,-72.2425,0,0,0,0
-6.5675,-85.3775,0,0,0,0
-6.5675,-98.5125,0,0,0,0
-6.5675,-111.6475,0,0,0,0
-6.5675,-124.7825,0,0,0,0
-6.5675,-137.9175,0,0,0,0
6.5675,45.9725,0,0,0,0
6.5675,32.8375,0,0,0,0
6.5675,19.7025,0,0,0,0
6.5675,6.5675,0,0,0,0
6.5675,-6.5675,-50.2374345,-157.62,0.668448620012673,1
6.5675,-19.7025,107.3825655,31.524,0.816103332754065,5
6.5675,-32.8375,-89.6424345,118.215,0.452342475158602,2
6.5675,-45.9725,67.9775655,157.62,0.868258375704329,4
6.5675,-59.1075,28.5725655,-78.81,0.415930379594719,2
6.5675,-72.2425,0,0,0,0
6.5675,-85.3775,0,0,0,0
6.5675,-98.5125,0,0,0,0
6.5675,-111.6475,0,0,0,0
6.5675,-124.7825,0,0,0,0
6.5675,-137.9175,0,0,0,0
19.7025,45.9725,0,0,0,0
19.7025,32.8375,0,0,0,0
19.7025,19.7025,0,0,0,0
19.7025,6.5675,0,0,0,0
19.7025,-6.5675,-10.8324345,-315.24,0.30365789087029,2
19.7025,-19.7025,-117.788863071429,45.0342857142857,0.816705998515628,7
19.7025,-32.8375,54.8425655,78.81,0.904323842406664,3
19.7025,-45.9725,67.9775655,13.135,0.768435478292331,6
19.7025,-59.1075,81.1125655,26.27,0.591499197203294,3
19.7025,-72.2425,0,0,0,0
19.7025,-85.3775,0,0,0,0
19.7025,-98.5125,0,0,0,0
19.7025,-111.6475,0,0,0,0
19.7025,-124.7825,0,0,0,0
19.7025,-137.9175,0,0,0,0
32.8375,45.9725,0,0,0,0
32.8375,32.8375,0,0,0,0
32.8375,19.7025,0,0,0,0
32.8375,6.5675,0,0,0,0
32.8375,-6.5675,-286.6674345,-0,0.202195157044673,1
32.8375,-19.7025,-365.4774345,-433.455,0.61976993796624,2
32.8375,-32.8375,-97.5234345,204.906,0.492702059805828,5
32.8375,-45.9725,-18.7134345,78.81,0.855390868009923,5
